concept	lang	token	priority	head_lemma	parts
Firefly#family	en	Lightning bugs	2	bug NOUN	Lightning NOUN compound> bug NOUN
Gavialidae#family	en	Gavialidae	0	Gavialidae NOUN	
Gecko#family	en	Gekkonidae	0	Gekkonidae NOUN	
Gecko#family	en	Geckos	0	Geckos PROPN	
Giant_salamander#family	en	Cryptobranchidae	0	Cryptobranchida NOUN	
Gibbon#family	en	Hylobatidae	0	Hylobatidae NOUN	
Gibbon#family	en	Gibbons	0	Gibbons PROPN	
Gibbon#family	en	Lesser apes	2	ap PROPN	lesser PROPN compound> ap PROPN
Giraffidae#family	en	Giraffidae	0	Giraffidae PROPN	
Giraffidae#family	en	Giraffes and okapis	0	giraffe NOUN	and CCONJ cc> okapis NOUN | okapis NOUN conj> giraffe NOUN
Giraffidae#family	en	Giraffids	2	Giraffid NOUN	
Grebe#family	en	Podicipedidae	0	Podicipedida NOUN	
Grebe#family	en	Grebes	0	Grebes NOUN	
Gull#family	en	Laridae	0	Larida NOUN	
Gull#family	en	Gulls and kittiwakes	0	Gull NOUN	and CCONJ cc> kittiwake NOUN | kittiwake NOUN conj> Gull NOUN
Gull#family	en	Seagulls	2	Seagull PROPN	
Helicidae#family	en	Helicidae	0	Helicida NOUN	
Heron#family	en	Ardeidae	0	Ardeidae PROPN	
Heron#family	en	Herons, egrets and bitterns	0	Heron NOUN	, PUNCT punct> egret NOUN | egret NOUN conj> Heron NOUN | and CCONJ cc> bittern NOUN | bittern NOUN conj> Heron NOUN
Hippocastanaceae#family	en	Hippocastanaceae	0	Hippocastanaceae NOUN	
Hippopotamidae#family	en	Hippopotamidae	0	Hippopotamidae NOUN	
Hominidae#family	en	Hominidae	0	Hominida NOUN	
Hominidae#family	en	Great apes	0	ap NOUN	great ADJ amod> ap NOUN
Hominidae#family	en	Hominids	2	Hominid NOUN	
Horseshoe_bat#family	en	Rhinolophidae	0	Rhinolophidae PROPN	
Horseshoe_bat#family	en	Horseshoe bats	0	bat NOUN	Horseshoe NOUN compound> bat NOUN
Hummingbird#family	en	Trochilidae	0	Trochilida NOUN	
Hummingbird#family	en	Hummingbirds	0	Hummingbird PROPN	
Hyena#family	en	Hyaenidae	0	Hyaenidae NOUN	
Hypsilophodont#family	en	Hypsilophodontidae	0	Hypsilophodontidae NOUN	
Hyracodontidae#family	en	Hyracodontidae	0	Hyracodontidae NOUN	
Iguanidae#family	en	Iguanidae	0	Iguanidae NOUN	
Iguanidae#family	en	Iguanas	0	Iguanas PROPN	
Iguanodont#family	en	Iguanodontidae	0	Iguanodontidae NOUN	
Indriidae#family	en	Indridae	0	Indrida NOUN	
Indriidae#family	en	Sifakas, woolly lemurs and indri	0	Sifaka PROPN	, PUNCT punct> lemur NOUN | woolly ADV advmod> lemur NOUN | lemur NOUN conj> Sifaka PROPN | and CCONJ cc> indri NOUN | indri NOUN conj> Sifaka PROPN
Indriidae#family	en	Indridae 	2	Indrida NOUN	
Iniidae#family	en	Iniidae	0	Iniida NOUN	
Jumping_spider#family	en	Salticidae	0	Salticidae NOUN	
Jumping_spider#family	en	Jumping spiders	0	spider NOUN	jumping NOUN compound> spider NOUN
Jumping_spider#family	en	Salticids	2	Salticid PROPN	
Kannemeyeriidae#family	en	Kannemeyeriidae	0	Kannemeyeriidae PROPN	
Lacertidae#family	en	Lacertidae	0	Lacertida NOUN	
Lacertidae#family	en	Wall lizards	0	lizard NOUN	Wall ADJ amod> lizard NOUN
Lacertidae#family	en	Lacertids	2	Lacertid NOUN	
Lacertidae#family	en	True lizards	2	lizard NOUN	true ADJ amod> lizard NOUN
Lamnidae#family	en	Lamnidae	0	Lamnida NOUN	
Lark#family	en	Alaudidae	0	Alaudidae PROPN	
Leaf-nosed_bat#family	en	Phyllostomidae	0	Phyllostomida NOUN	
Lemuridae#family	en	Lemuridae	0	Lemuridae PROPN	
Lemuridae#family	en	True lemurs	0	lemur NOUN	true ADJ amod> lemur NOUN
Leporidae#family	en	Leporidae	0	Leporidae PROPN	
Leporidae#family	en	Hares and rabbits	0	Hare NOUN	and CCONJ cc> rabbit NOUN | rabbit NOUN conj> Hare NOUN
Leptodactylidae#family	en	Leptodactylidae	0	Leptodactylidae PROPN	
Liliaceae#family	en	Liliaceae	0	Liliaceae PROPN	
Liliaceae#family	en	Lilies	0	Lily NOUN	
Liliaceae#family	en	Lily family	2	family NOUN	Lily PROPN compound> family NOUN
Liphistiidae#family	en	Liphistiidae	0	Liphistiidae PROPN	
Lorisidae#family	en	Lorisidae	0	Lorisidae NOUN	
Lungless_salamander#family	en	Plethodontidae	0	Plethodontida NOUN	
Lungless_salamander#family	en	Lungless salamanders	0	salamander NOUN	lungless NOUN compound> salamander NOUN
Lycaenidae#family	en	Lycaenidae	0	Lycaenidae PROPN	
Lycaenidae#family	en	Gossamer-winged butterflies	0	butterfly NOUN	Gossamer NOUN obl:npmod> win VERB | - PUNCT punct> win VERB | win VERB amod> butterfly NOUN
Macraucheniidae#family	en	Macraucheniidae	0	Macraucheniidae NOUN	
Macropod#family	en	Macropodidae	0	Macropodidae NOUN	
Macropod#family	en	Kangaroos and wallabies	0	Kangaroos NOUN	and CCONJ cc> wallaby NOUN | wallaby NOUN conj> Kangaroos NOUN
Macropod#family	en	Macropods	2	Macropod PROPN	
Mammutidae#family	en	Mammutidae	0	Mammutida NOUN	
Manakin#family	en	Pipridae	0	Piprida NOUN	
Manakin#family	en	Manakins	0	Manakin PROPN	
Manidae#family	en	Manidae	0	Manida NOUN	
Marlin#family	en	Istiophoridae	0	Istiophoridae NOUN	
Megabat#family	en	Pteropodidae	0	Pteropodida NOUN	
Megabat#family	en	Megabats	0	Megabat PROPN	
Megachilidae#family	en	Megachilidae	0	Megachilida NOUN	
Megaluridae#family	en	Megaluridae	0	Megalurida NOUN	
Megapode#family	en	Megapodiidae	0	Megapodiida NOUN	
Megapode#family	en	Megapodes	0	Megapode PROPN	
Megapode#family	en	Incubator birds	2	bird NOUN	Incubator NOUN compound> bird NOUN
Megapode#family	en	Mound builders	2	builders NOUN	mound NOUN compound> builders NOUN
Mongoose#family	en	Herpestidae	0	Herpestida NOUN	
Mongoose#family	en	Mongooses	0	Mongoose PROPN	
Monodontidae#family	en	Monodontidae	0	Monodontida NOUN	
Monodontidae#family	en	White whales	0	whale NOUN	white PROPN compound> whale NOUN
Monodontidae#family	en	Beluga and narwhal	2	Beluga PROPN	and CCONJ cc> narwhal ADJ | narwhal ADJ conj> Beluga PROPN
Motacillidae#family	en	Motacillidae	0	Motacillida NOUN	
Muridae#family	en	Muridae	0	Muridae PROPN	
Muridae#family	en	Old World rats and mice	0	rat NOUN	old PROPN compound> world PROPN | world PROPN compound> rat NOUN | and CCONJ cc> mouse NOUN | mouse NOUN conj> rat NOUN
Mustelidae#family	en	Mustelidae	0	Mustelidae PROPN	
Mustelidae#family	en	Weasel family	0	family NOUN	Weasel PROPN compound> family NOUN
Mustelidae#family	en	Mustelids	2	Mustelid PROPN	
Myrmecophagidae#family	en	Myrmecophagidae	0	Myrmecophagidae NOUN	
Neovenatoridae#family	en	Neovenatoridae	0	Neovenatoridae NOUN	
Nepenthaceae#family	en	Nepenthaceae	0	Nepenthaceae NOUN	
New_World_vulture#family	en	Cathartidae	0	Cathartida NOUN	
New_World_vulture#family	en	New World vultures	0	vulture NOUN	New PROPN compound> world PROPN | world PROPN compound> vulture NOUN
New_Zealand_parrot#family	en	Nestoridae	0	Nestoridae NOUN	
New_Zealand_parrot#family	en	New Zealand parrots	0	parrot NOUN	New PROPN compound> Zealand PROPN | Zealand PROPN compound> parrot NOUN
Nightjar#family	en	Caprimulgidae	0	Caprimulgidae NOUN	
Nursery_web_spider#family	en	Pisauridae	0	Pisauridae NOUN	
Nymphalidae#family	en	Nymphalidae	0	Nymphalidae PROPN	
Nymphalidae#family	en	Brush-footed butterflies	0	butterfly NOUN	Brush PROPN obl:npmod> foote VERB | - PUNCT punct> foote VERB | foote VERB amod> butterfly NOUN
Oceanic_dolphin#family	en	Delphinidae	0	Delphinidae PROPN	
Oceanic_dolphin#family	en	Oceanic dolphins	0	dolphin NOUN	Oceanic ADJ amod> dolphin NOUN
Octopodidae#family	en	Octopodidae	0	Octopodidae PROPN	
Odobenidae#family	en	Odobenidae	0	Odobenidae NOUN	
Old_World_flycatcher#family	en	Muscicapidae	0	Muscicapidae PROPN	
Old_World_flycatcher#family	en	Old world flycatchers	0	flycatcher NOUN	old ADJ amod> world NOUN | world NOUN compound> flycatcher NOUN
Old_World_monkey#family	en	Cercopithecidae	0	Cercopithecida NOUN	
Old_World_monkey#family	en	Old world monkeys	0	monkey NOUN	old ADJ amod> world NOUN | world NOUN compound> monkey NOUN
Ophthalmosauridae#family	en	Ophthalmosauridae	0	Ophthalmosaurida NOUN	
Orb-weaver_spider#family	en	Araneidae	0	Araneidae PROPN	
Orb-weaver_spider#family	en	Orb weavers	0	weaver NOUN	Orb PROPN compound> weaver NOUN
Orb-weaver_spider#family	en	Orb spiders	2	spider NOUN	Orb PROPN compound> spider NOUN
Orb-weaver_spider#family	en	Orbweavers	2	Orbweaver NOUN	
Orb-weaver_spider#family	en	Orb weaver spiders	2	Orb VERB	spider NOUN obj> Orb VERB
Orchidaceae#family	en	Orchidaceae	0	Orchidaceae PROPN	
Orchidaceae#family	en	Orchids	0	Orchid PROPN	
Orchidaceae#family	en	Orchid family	2	family NOUN	Orchid ADJ amod> family NOUN
Ornithorhynchidae#family	en	Ornithorhynchidae	0	Ornithorhynchidae PROPN	
Oviraptoridae#family	en	Oviraptoridae	0	Oviraptoridae NOUN	
Oystercatcher#family	en	Haematopodidae	0	Haematopodidae NOUN	
Palaeotheriidae#family	en	Palaeotheriidae	0	Palaeotheriidae NOUN	
Pandionidae#family	en	Pandionidae	0	Pandionidae NOUN	
Panuridae#family	en	Panuridae	0	Panurida NOUN	
Papaveraceae#family	en	Papaveraceae	0	Papaveracea NOUN	
Passifloraceae#family	en	Passifloraceae	0	Passifloracea NOUN	
Pelomedusidae#family	en	Pelomedusidae	0	Pelomedusida NOUN	
Penguin#family	en	Spheniscidae	0	Spheniscida NOUN	
Penguin#family	en	Penguins	0	Penguins PROPN	
Petauridae#family	en	Petauridae	0	Petauridae PROPN	
Petromyzontidae#family	en	Petromyzontidae	0	Petromyzontidae PROPN	
Phalangeridae#family	en	Phalangeridae	0	Phalangerida NOUN	
Phascolarctidae#family	en	Phascolarctidae	0	Phascolarctida NOUN	
Phasianidae#family	en	Phasianidae	0	Phasianida NOUN	
Phasianidae#family	en	Pheasants and partridges	0	Pheasant NOUN	and CCONJ cc> partridge NOUN | partridge NOUN conj> Pheasant NOUN
Phylloscopidae#family	en	Phylloscopidae	0	Phylloscopida NOUN	
Physeteridae#family	en	Physeteridae	0	Physeterida NOUN	
Picathartidae#family	en	Picathartidae	0	Picathartida NOUN	
Pieridae#family	en	Pieridae	0	Pierida NOUN	
Pieridae#family	en	Sulphurs and whites	0	Sulphur NOUN	and CCONJ cc> whites NOUN | whites NOUN conj> Sulphur NOUN
Pinaceae#family	en	Pinaceae	0	Pinacea NOUN	
Pitheciidae#family	en	Cebidae	0	Cebida NOUN	
Pitheciidae#family	en	Titis, sakis and uakaris	0	Titis NOUN	, PUNCT punct> sakis NOUN | sakis NOUN conj> Titis NOUN | and CCONJ cc> uakaris NOUN | uakaris NOUN conj> Titis NOUN
Ploceidae#family	en	Ploceidae	0	Ploceida NOUN	
Poaceae#family	en	Poaceae	0	Poacea NOUN	
Poaceae#family	en	Grasses	0	Grasse NOUN	
Porpoise#family	en	Phocoenidae	0	Phocoenida NOUN	
Procellariidae#family	en	Procellariidae	0	Procellariida NOUN	
Procellariidae#family	en	Petrels and shearwaters	0	Petrel NOUN	and CCONJ cc> shearwater NOUN | shearwater NOUN conj> Petrel NOUN
Procyonidae#family	en	Procyonidae	0	Procyonida NOUN	
Procyonidae#family	en	Raccoon and coati family	0	Raccoon PROPN	and CCONJ cc> family NOUN | coati ADJ amod> family NOUN | family NOUN conj> Raccoon PROPN
Protoceratopsid#family	en	Protoceratopsidae	0	Protoceratopsida NOUN	
Prunellidae#family	en	Prunellidae	0	Prunellida NOUN	
Pseudorhyncocyonidae#family	en	Pseudorhyncocyonidae	0	Pseudorhyncocyonida NOUN	
Rallidae#family	en	Rallidae	0	Rallidae PROPN	
Rallidae#family	en	Rails and coots	0	rail NOUN	and CCONJ cc> coot NOUN | coot NOUN conj> rail NOUN
Rauisuchidae#family	en	Rauisuchidae	0	Rauisuchidae PROPN	
Recurvirostridae#family	en	Recurcirostridae	0	Recurcirostrida NOUN	
Regulidae#family	en	Regulidae	0	Regulida NOUN	
Requiem_shark#family	en	Carcharhinidae	0	Carcharhinidae NOUN	
Requiem_shark#family	en	Requiem sharks	0	shark NOUN	Requiem NOUN compound> shark NOUN
Rhabdodontidae#family	en	Rhabdodontidae	0	Rhabdodontidae PROPN	
Rhinoceros#family	en	Rhinocerotidae	0	Rhinocerotidae PROPN	
Rhinoceros#family	en	Rhinoceroses	0	Rhinocerose NOUN	
Rhinoceros#family	en	Rhinos	2	Rhinos PROPN	
Rhizophoraceae#family	en	Rhizophoraceae	0	Rhizophoraceae PROPN	
Rhynochetidae#family	en	Rhynochetidae	0	Rhynochetidae PROPN	
River_kingfishers#family	en	Alcedinidae	0	Alcedinidae PROPN	
Rorqual#family	en	Balaenidae	0	Balaenida NOUN	
Rorqual#family	en	Rorqual family	0	family NOUN	Rorqual ADJ amod> family NOUN
Rosaceae#family	en	Rosaceae	0	Rosaceae PROPN	
Rosaceae#family	en	Rose family	0	family NOUN	Rose NOUN compound> family NOUN
Rosaceae#family	en	Roses	2	Ros PROPN	
Rynchopidae#family	en	Rynchopidae	0	Rynchopidae PROPN	
Salamandridae#family	en	Salamandridae	0	Salamandridae NOUN	
Salamandridae#family	en	True salamanders and newts	0	salamander NOUN	true ADJ amod> salamander NOUN | and CCONJ cc> newt NOUN | newt NOUN conj> salamander NOUN
Salmonidae#family	en	Salmonidae	0	Salmonidae PROPN	
Salmonidae#family	en	Salmon family	0	family NOUN	salmon PROPN compound> family NOUN
Scansoriopterygidae#family	en	Scansoriopterygidae	0	Scansoriopterygida NOUN	
Scathophagidae#family	en	Scathophagidae	0	Scathophagida NOUN	
Sciuridae#family	en	Sciuridae	0	Sciurida NOUN	
Sciuridae#family	en	Squirrels	0	Squirrels PROPN	
Sea_snake#family	en	Hydrophiidae	0	Hydrophiidae NOUN	
Sea_turtle#family	en	Cheloniidae	0	Cheloniidae NOUN	
Sea_turtle#family	en	Sea turtles	0	turtle NOUN	Sea NOUN compound> turtle NOUN
Sepiidae#family	en	Sepiidae	0	Sepiidae NOUN	
Shrew#family	en	Soricidae	0	Soricidae PROPN	
Silphidae#family	en	Silphidae	0	Silphida NOUN	
Sparrow#family	en	Passeridae	0	Passerida NOUN	
Sphingidae#family	en	Sphingidae	0	Sphingida NOUN	
Spinosauridae#family	en	Spinosauridae 	0	Spinosauridae NOUN	
Starling#family	en	Sturnidae	0	Sturnidae NOUN	
Stegosauridae#family	en	Stegosauridae	0	Stegosauridae NOUN	
Stickleback#family	en	Gasterosteidae	0	Gasterosteida NOUN	
Stone-curlew#family	en	Burhinidae	0	Burhinidae PROPN	
Stork#family	en	Ciconiidae	0	Ciconiida NOUN	
Storm-petrel#family	en	Hydrobatidae	0	Hydrobatidae NOUN	
Strongylocentrotidae#family	en	Strongylocentrotidae	0	Strongylocentrotidae NOUN	
Suidae#family	en	Suidae	0	Suida NOUN	
Suidae#family	en	Hogs and pigs	0	Hog NOUN	and CCONJ cc> pig NOUN | pig NOUN conj> Hog NOUN
Sulidae#family	en	Sulidae	0	Sulida NOUN	
Swallow#family	en	Hirundinidae	0	Hirundinidae NOUN	
Swallow#family	en	Swallows and martins	0	swallow NOUN	and CCONJ cc> martin NOUN | martin NOUN conj> swallow NOUN
Swallowtail_butterfly#family	en	Papilionidae	0	Papilionida NOUN	
Swift#family	en	Apodidae	0	Apodidae PROPN	
Sylviidae#family	en	Sylviidae	0	Sylviidae NOUN	
Syngnathidae#family	en	Syngnathidae	0	Syngnathidae NOUN	
Syngnathidae#family	en	Seahorses and pipefish	0	Seahorse NOUN	and CCONJ cc> pipefish NOUN | pipefish NOUN conj> Seahorse NOUN
Talpidae#family	en	Talpidae	0	Talpidae NOUN	
Talpidae#family	en	Moles and desmans	0	Mole NOUN	and CCONJ cc> desman NOUN | desman NOUN conj> Mole NOUN
Tarantula#family	en	Theraphosidae	0	Theraphosida NOUN	
Tarantula#family	en	Tarantulas	0	Tarantulas PROPN	
Tarsiidae#family	en	Tarsiidae	0	Tarsiida NOUN	
Taxaceae#family	en	Taxaceae	0	Taxacea NOUN	
Tern#family	en	Sternidae	0	Sternidae NOUN	
Therizinosauridae#family	en	Therizinosauridae	0	Therizinosaurida NOUN	
Therizinosauridae#family	en	Therizinosaurs	0	Therizinosaur NOUN	
Therizinosauridae#family	en	reaper lizards	2	lizard NOUN	reaper NOUN compound> lizard NOUN
Threskiornithidae#family	en	Threskiornithidae	0	Threskiornithidae NOUN	
Thrush_bird#family	en	Turdidae	0	Turdidae NOUN	
Titanosauridae#family	en	Titanosauridae	0	Titanosauridae NOUN	
Tit_bird#family	en	Paridae	0	Parida NOUN	
Tit_bird#family	en	Tits and chickadees	0	Tit NOUN	and CCONJ cc> chickadee NOUN | chickadee NOUN conj> Tit NOUN
Tortoise#family	en	Testudinidae	0	Testudinida NOUN	
Tortoise#family	en	Tortoises	0	Tortoise NOUN	
Treecreeper#family	en	Certhiidae	0	Certhiida NOUN	
Triisodontidae#family	en	Triisodontidae	0	Triisodontida NOUN	
Troglodytidae#family	en	Troglodytidae	0	Troglodytida NOUN	
True_frog#family	en	Ranidae	0	Ranidae PROPN	
True_frog#family	en	True frogs	0	frog NOUN	true ADJ amod> frog NOUN
True_owl#family	en	Strigidae	0	Strigidae NOUN	
True_owl#family	en	True owls	0	owl NOUN	true ADJ amod> owl NOUN
True_owl#family	en	Typical owls	2	owl NOUN	typical ADJ amod> owl NOUN
True_parrots#family	en	Psittacidae	0	Psittacida NOUN	
True_parrots#family	en	True parrots	0	parrot NOUN	true ADJ amod> parrot NOUN
True_toad#family	en	Bufonidae	0	Bufonidae PROPN	
True_toad#family	en	True toads	0	toad NOUN	true ADJ amod> toad NOUN
True_toad#family	en	Toads	2	Toad NOUN	
Tyrannosauridae#family	en	Tyrannosauridae	0	Tyrannosaurida NOUN	
Tyrannosauridae#family	en	Tyrannosaurs	0	Tyrannosaur NOUN	
Tyrannosauridae#family	en	tyrant lizards	2	lizard NOUN	tyrant NOUN compound> lizard NOUN
Tytonidae#family	en	Tytonidae	0	Tytonida NOUN	
Tytonidae#family	en	Barn, masked and bay owls	0	owl NOUN	barn NOUN compound> owl NOUN | , PUNCT punct> mask VERB | mask VERB conj> barn NOUN | and CCONJ cc> bay NOUN | bay NOUN conj> barn NOUN
Ulmaceae#family	en	Ulmaceae	0	Ulmaceae PROPN	
Ulmaridae#family	en	Ulmaridae	0	Ulmaridae PROPN	
Umbrella_octopus#family	en	Opisthoteuthidae	0	Opisthoteuthida NOUN	
Urticaceae#family	en	Urticaceae	0	Urticaceae NOUN	
Varanidae#family	en	Varanidae	0	Varanidae PROPN	
Vesper_bat#family	en	Vespertilionidae	0	Vespertilionidae NOUN	
Vesper_bat#family	en	Vesper bats	0	bat NOUN	Vesper NOUN compound> bat NOUN
Vesper_bat#family	en	Evening bats	2	bat NOUN	evening NOUN compound> bat NOUN
Vespidae#family	en	Vespidae	0	Vespidae NOUN	
Vespidae#family	en	Wasps	0	Wasps PROPN	
Violaceae#family	en	Violaceae	0	Violaceae NOUN	
Viperidae#family	en	Viperidae	0	Viperidae NOUN	
Viperidae#family	en	Vipers	0	Viper NOUN	
Wolf_spider#family	en	Lycosidae	0	Lycosidae PROPN	
Woodpecker#family	en	Picidae	0	Picida NOUN	
Woodpecker#family	en	Woodpeckers	0	woodpecker NOUN	
Acanthaster#genus	en	Acanthaster	0	Acanthaster NOUN	
Accentor#genus	en	Prunella	0	Prunella NOUN	
Accipiter#genus	en	Accipiter	0	Accipiter NOUN	
Accipiter#genus	en	Goshawks and sparrowhawks	0	Goshawk NOUN	and CCONJ cc> sparrowhawk NOUN | sparrowhawk NOUN conj> Goshawk NOUN
Acinonyx#genus	en	Acinonyx	0	Acinonyx NOUN	
Acrocephalus#genus	en	Acrocephalus	0	Acrocephalus PROPN	
Acrocephalus#genus	en	Marsh and reed warblers	0	Marsh PROPN	and CCONJ cc> ree VERB | ree VERB conj> Marsh PROPN | warbler NOUN obj> ree VERB
Aegithalos#genus	en	Aegithalos	0	Aegithalos PROPN	
Aesculus#genus	en	Aesculus	0	Aesculus PROPN	
Aeshna#genus	en	Aeshna	0	Aeshna PROPN	
Ailuropoda#genus	en	Ailuropoda	0	Ailuropoda PROPN	
Aix_genus#genus	en	Aix	0	Aix NOUN	
Alauda#genus	en	Alauda	0	Alauda PROPN	
Alcedo#genus	en	Alcedo	0	Alcedo PROPN	
Alectoris#genus	en	Alectoris	0	Alectoris PROPN	
Alliums#genus	en	Allium	0	Allium PROPN	
Amorphophallus#genus	en	Amorphophallus	0	Amorphophallus PROPN	
Anas#genus	en	Anas	0	Ana PROPN	
Andrias#genus	en	Andrias	0	Andrias PROPN	
Andrias#genus	en	Asian giant salamanders	0	salamander NOUN	asian ADJ amod> giant NOUN | giant NOUN compound> salamander NOUN
Anguis#genus	en	Anguis	0	Anguis PROPN	
Anser_genus#genus	en	Anser	0	Anser NOUN	
Antaresia#genus	en	Antaresia	0	Antaresia PROPN	
Anthropoides#genus	en	Anthropoides	0	Anthropoide PROPN	
Antilocapra#genus	en	Antilocapra	0	Antilocapra PROPN	
Antilope#genus	en	Antilope	0	Antilope NOUN	
Apatura#genus	en	Apatura	0	Apatura PROPN	
Apodemus#genus	en	Apodemus	0	Apodemus PROPN	
Aptenodytes#genus	en	Aptenodytes	0	Aptenodytes PROPN	
Aptenodytes#genus	en	Great penguins	0	penguin NOUN	great ADJ amod> penguin NOUN
Apus_genus#genus	en	Apus	0	Apus PROPN	
Aquila_genus#genus	en	Aquila	0	Aquila PROPN	
Araneus#genus	en	Araneus	0	Araneus PROPN	
Arctocephalus#genus	en	Arctocephalus	0	Arctocephalus PROPN	
Arctocephalus#genus	en	Southern fur seals	0	seals NOUN	southern ADJ amod> fur NOUN | fur NOUN compound> seals NOUN
Ardea_genus#genus	en	Ardea	0	Ardea PROPN	
Argynnis#genus	en	Argynnis	0	Argynnis PROPN	
Asio#genus	en	Asio	0	Asio PROPN	
Asio#genus	en	Eared owls	0	owl NOUN	Eared ADJ amod> owl NOUN
Astrochelys#genus	en	Astrochelys	0	Astrochelys PROPN	
Atelopus#genus	en	Atelopus	0	Atelopus NOUN	
Athene_owl#genus	en	Athene	0	Athene PROPN	
Athene_owl#genus	en	Athene owls	0	owl NOUN	Athene ADJ amod> owl NOUN
Aurelia_genus#genus	en	Aurelia	0	Aurelia PROPN	
Austropotamobius#genus	en	Austropotamobius	0	Austropotamobius PROPN	
Avocet#genus	en	Recurvirostra	0	Recurvirostra PROPN	
Baboon#genus	en	Papio	0	Papio PROPN	
Baboon#genus	en	Baboons	0	Baboon PROPN	
Balaena#genus	en	Balaena	0	Balaena PROPN	
Balaeniceps#genus	en	Balaeniceps	0	Balaenicep PROPN	
Balaenoptera#genus	en	Balaenoptera	0	Balaenoptera PROPN	
Balaenoptera#genus	en	Rorquals	0	Rorqual NOUN	
Bamboo_lemur#genus	en	Hapalemur	0	Hapalemur NOUN	
Banded_penguin#genus	en	Spheniscus	0	Spheniscus NOUN	
Banded_penguin#genus	en	Banded penguins	0	penguin NOUN	Banded VERB amod> penguin NOUN
Banded_penguin#genus	en	Spheniscus penguins	2	penguin PROPN	Spheniscus PROPN compound> penguin PROPN
Beaver#genus	en	Castor	0	Castor NOUN	
Beaver#genus	en	Beavers	0	beavers PROPN	
Beech#genus	en	Fagus	0	Fagus NOUN	
Boa_genus#genus	en	Boa	0	Boa PROPN	
Boiga#genus	en	Boiga	0	Boiga PROPN	
Bos#genus	en	Bos	0	Bos PROPN	
Botaurus#genus	en	Botaurus	0	Botaurus PROPN	
Bothriechis#genus	en	Bothriechis	0	Bothriechis PROPN	
Bothrops#genus	en	Bothrops	0	Bothrops PROPN	
Bottlenose_dolphin#genus	en	Tursiops	0	Tursiops PROPN	
Bottlenose_dolphin#genus	en	Bottlenose dolphins	0	dolphin NOUN	Bottlenose ADJ amod> dolphin NOUN
Bradypodion#genus	en	Bradypodion	0	Bradypodion PROPN	
Branta#genus	en	Branta	0	Branta PROPN	
Branta#genus	en	Black geese	0	geese NOUN	black ADJ amod> geese NOUN
Branta#genus	en	Brent geese	2	geese NOUN	Brent ADJ amod> geese NOUN
Bubalus#genus	en	Bubalus	0	Bubalus PROPN	
Bumblebee#genus	en	Bombus	0	Bombus PROPN	
Bumblebee#genus	en	Bumblebees	0	Bumblebees PROPN	
Bumblebee#genus	en	Bumble bee	2	bee NOUN	Bumble ADJ amod> bee NOUN
Burhinus#genus	en	Burhinus	0	Burhinus PROPN	
Buteo#genus	en	Buteo	0	Buteo PROPN	
Cacatua#genus	en	Cacatua	0	Cacatua PROPN	
Caiman_genus#genus	en	Caiman	0	Caiman PROPN	
Calopteryx#genus	en	Calopteryx	0	Calopteryx NOUN	
Camel#genus	en	Camelus	0	Camelus NOUN	
Camel#genus	en	Camels	0	camels NOUN	
Campephilus#genus	en	Campephilus	0	Campephilus NOUN	
Canis#genus	en	Canis	0	Canis PROPN	
Canis#genus	en	Wolves, dogs and jackals	0	wolf NOUN	, PUNCT punct> dog NOUN | dog NOUN conj> wolf NOUN | and CCONJ cc> jackal NOUN | jackal NOUN conj> wolf NOUN
Capra_genus#genus	en	Capra	0	Capra PROPN	
Capra_genus#genus	en	Ibex and goats	0	Ibex NOUN	and CCONJ cc> goat NOUN | goat NOUN conj> Ibex NOUN
Capreolus#genus	en	Capreolus	0	Capreolus PROPN	
Caprimulgus#genus	en	Caprimulgus	0	Caprimulgus NOUN	
Capuchin_monkey#genus	en	Cebus	0	Cebus NOUN	
Capuchin_monkey#genus	en	Capuchin monkeys	0	monkey NOUN	Capuchin NOUN compound> monkey NOUN
Capuchin_monkey#genus	en	Capuchins	2	Capuchins PROPN	
Carduelis#genus	en	Carduelis	0	Carduelis PROPN	
Carduelis#genus	en	Goldfinches	0	Goldfinch NOUN	
Cataglyphis#genus	en	Cataglyphis	0	Cataglyphis PROPN	
Catopuma#genus	en	Catopuma	0	Catopuma PROPN	
Certhia#genus	en	Certhia	0	Certhia PROPN	
Cervus#genus	en	Cervus	0	Cervus PROPN	
Cervus#genus	en	Elk, red and sika deer	0	deer NOUN	elk PROPN compound> deer NOUN | , PUNCT punct> red ADJ | red ADJ conj> elk PROPN | and CCONJ cc> sika ADJ | sika ADJ conj> elk PROPN
Cetorhinus#genus	en	Cetorhinus	0	Cetorhinus NOUN	
Charadrius#genus	en	Charadrius	0	Charadrius PROPN	
Charadrius#genus	en	Ringed plovers	0	plovers NOUN	Ringed VERB amod> plovers NOUN
Chelonia#genus	en	Chelonia	0	Chelonia PROPN	
Chen_genus#genus	en	Chen	0	Chen PROPN	
Chimpanzee#genus	en	Pan	0	Pan PROPN	
Chimpanzee#genus	en	Chimpanzees	0	Chimpanzees PROPN	
Chimpanzee#genus	en	Chimps	2	Chimps PROPN	
Chough#genus	en	Pyrrhocorax	0	Pyrrhocorax NOUN	
Cicinnurus#genus	en	Cicinnurus	0	Cicinnurus PROPN	
Cicinnurus#genus	en	Sickletail birds of paradise	0	bird NOUN	Sickletail NOUN compound> bird NOUN | of ADP case> paradise NOUN | paradise NOUN nmod> bird NOUN
Coccinella#genus	en	Coccinella	0	Coccinella PROPN	
